,index,country,camp_name,sample,coefficient_variation_ndvi,daytime_maximum_temperature,evi_change,flow_accumulation,friction,interannual_coefficient_variation_precipitation,pdsi,population,precipitation,seasonal_precipitation_max,slope,specific_humidity,ssm,susm,temperature_anomaly,longitude,latitude,exposure,rank,percentile,min_exposure,max_exposure,min_rank,min_percentile,max_rank,max_percentile
1873,000000000000000001cd,South Sudan,,sample_camp,0.18494853491171856,0.5331306786126292,0.30167568614248924,0.0010487334197361547,0.2578580383410242,0.13011444907090455,0.08365657807148112,0.02474687376001954,0.36866092317598587,0.6607562554381219,0.052028904982974335,0.8194343323763974,0.4519549089563196,0.609465320831626,0.5308300566045888,29.418622497262625,5.220375703564992,0.35358853264092394,596.0,0.4067796610169492,0.30700395266737657,0.3888425125630427,600.0,0.40279162512462613,593.0,0.4097706879361914
1874,000000000000000001e3,South Sudan,,sample_camp,0.21596891666476478,0.571244923106287,0.27257552488778675,0.0009126824600638514,0.25458500245461185,0.16721260810922806,0.1505569314386948,0.013235792820815282,0.22030914976824123,0.5408192681234814,0.055141278001190785,0.8455898334289088,0.5634848733253612,0.6891172965679604,0.5308300566045888,27.65370014521168,5.5940930612465305,0.35460787334733257,584.0,0.4187437686939183,0.3055096773391749,0.3899773924360594,608.0,0.3948155533399801,583.0,0.419740777666999
1875,000000000000000001eb,South Sudan,,sample_camp,0.21099772307969317,0.571244923106287,0.2709844055145412,0.000114608070168613,0.2603219087475233,0.13481490225494633,0.15096807715954,0.02337696372947271,0.20201431551922625,0.5307950710448567,0.04827916603999596,0.873464580101076,0.5538589699558975,0.6878748952308246,0.5308300566045888,27.698557027668635,5.4169442864160935,0.3506096889640097,623.0,0.3798604187437687,0.29832419985030306,0.38565919705339374,686.0,0.317048853439681,620.0,0.382851445663011
1876,000000000000000001ec,South Sudan,,sample_camp,0.3653531178285225,0.6203929031551773,0.3724190214829803,0.000135989935297812,0.2598048447092259,0.3091322320218098,0.15975472628507653,0.007193171466942822,0.19221835376316748,0.4447612700938283,0.04572726484153042,0.6562412063100016,0.5027283338163883,0.634538004120053,0.5308300566045888,27.5741886758319,6.549041401729689,0.3383388346850993,730.0,0.2731804586241276,0.3065485975226091,0.37215911916007943,602.0,0.40079760717846463,729.0,0.2741774675972084
1877,000000000000000001f3,South Sudan,,sample_camp,0.26111780870877904,0.5408635561131835,0.37159949887301036,0.00048737995121023723,0.25518874814094966,0.11645733228330137,0.0910557902488137,0.013120494202616063,0.4686438147470794,0.6505959798121685,0.05089697922198875,0.8202090792343403,0.423932743312243,0.5800429167277292,0.5308300566045888,29.184622848916614,5.30879996728669,0.35901467815180604,550.0,0.452642073778664,0.3128952380435527,0.39486740797186565,542.0,0.46061814556331004,546.0,0.45663010967098705
1878,00000000000000000208,South Sudan,,sample_camp,0.16848720168547882,0.5850714764884035,0.28123762148147174,0.0024255198443567812,0.18255024207168322,0.0863492966407006,0.1183776350070176,0.02356102652389711,0.22935080677153366,0.6519978430991029,0.06690030823386751,0.8892287351678386,0.49808476641648947,0.6371951050244536,0.5308300566045888,28.21300478540976,5.190939070237097,0.34919697148596207,639.0,0.36390827517447655,0.29519379511777444,0.3838741166501226,719.0,0.28414755732801594,637.0,0.3659022931206381
1879,0000000000000000021c,South Sudan,,sample_camp,0.3048627117599033,0.5847529065232443,0.31074884069467273,0.0019721461330554544,0.2550983949159357,0.23621887067079544,0.13216004643856294,0.02356060514139015,0.40431649533667025,0.6396623220228697,0.04397955465955173,0.7935793710065921,0.5252278152754407,0.6893052673076785,0.5308300566045888,28.126714740815764,5.706304534353488,0.377072543598846,434.0,0.5682951146560319,0.33542186085807146,0.4145825833454251,407.0,0.5952143569292123,432.0,0.5702891326021934
1880,00000000000000000232,South Sudan,,sample_camp,0.3735536243092268,0.5372062278434113,0.291309163138077,0.019858852453516818,0.25403435499481697,0.11953444635621181,0.10961520710041062,0.03652282203059154,0.3294283337515131,0.6819902632507823,0.05065959005288883,0.8568964170160408,0.529009042701029,0.6599215143711141,0.5308300566045888,28.522778937712097,5.35621291041572,0.36536934473865545,507.0,0.4955134596211366,0.3162166375109169,0.39992039396716933,523.0,0.4795613160518445,517.0,0.48554336989032904
1881,0000000000000000024b,South Sudan,,sample_camp,0.1644514670415686,0.5120693450965876,0.32221040926850847,0.00037146668184115985,0.24081337567389144,0.16008513328869575,0.08936249650209216,0.024746882748387662,0.316408504186959,0.6648586746386025,0.06290897230809538,0.825601146892369,0.4519549089563196,0.609465320831626,0.5308300566045888,29.492619594672,5.199330872656659,0.3504785528027311,627.0,0.37587238285144564,0.30296629339376735,0.3854892614148201,644.0,0.3589232303090728,624.0,0.37886340977068794
1882,0000000000000000024c,South Sudan,,sample_camp,0.20324468474328586,0.598622958365963,0.43401276615335105,0.0001082387369468667,0.26194618398195346,0.17197717952830743,0.14178000633249493,0.013235768882569507,0.2322766496500279,0.6132919728013839,0.05701679632772641,0.8223019732553167,0.5122062668302712,0.6686609834376843,0.5308300566045888,27.534768320511212,5.665319713410088,0.3583962074922709,554.0,0.44865403788634095,0.3120056309159664,0.39422500436780333,549.0,0.45363908275174475,551.0,0.45164506480558325
